lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
earlysocog-fm,s20,ADS,ADS2,9,2.63,6.8,noerror,NA,NA
earlysocog-fm,s20,IDS,IDS2,10,1.29,5.86,noerror,NA,NA
earlysocog-fm,s20,IDS,IDS4,11,13.69,16.49,noerror,NA,NA
earlysocog-fm,s20,ADS,ADS4,12,3.53,6.81,noerror,NA,NA
earlysocog-fm,s20,IDS,IDS6,13,1.79,7.08,noerror,NA,NA
earlysocog-fm,s20,ADS,ADS6,14,5.09,7.31,noerror,NA,NA
earlysocog-fm,s20,IDS,IDS8,15,4.66,8.89,noerror,NA,NA
earlysocog-fm,s20,ADS,ADS8,16,9.12,16.38,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS1,1,6.09,16.23,noerror,NA,NA
earlysocog-fm,s34,IDS,IDS1,2,0.07,13.73,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS2,3,1.95,16.13,noerror,NA,NA
earlysocog-fm,s34,IDS,IDS2,4,4.64,9.5,noerror,NA,"baby would lean in, cut off eyes"
earlysocog-fm,s34,IDS,IDS3,5,1.34,13.23,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS3,6,0.8,5.22,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS4,7,0.22,5.43,noerror,NA,NA
earlysocog-fm,s34,IDS,IDS4,8,2.51,7.72,noerror,NA,NA
earlysocog-fm,s34,IDS,IDS5,9,1.95,5.78,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS5,10,0.82,6.01,noerror,NA,NA
earlysocog-fm,s34,IDS,IDS6,11,2.31,7.13,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS6,12,0.97,4.65,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS7,13,1.44,4.54,noerror,NA,NA
earlysocog-fm,s34,IDS,IDS7,14,3.22,12.31,noerror,NA,NA
earlysocog-fm,s34,IDS,IDS8,15,1.99,8.18,noerror,NA,NA
earlysocog-fm,s34,ADS,ADS8,16,2.63,7.45,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS5,1,4.28,10.56,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS5,2,2.3,6.55,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS7,3,1.76,7.37,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS7,4,8.6,15.84,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS1,5,7.86,12.36,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS1,6,8.96,15.84,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS3,7,5.68,12.83,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS3,8,6.25,8.35,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS2,9,6.33,9.53,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS2,10,7.04,7.04,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS4,11,3.62,7.5,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS4,12,3.09,6.53,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS6,13,1.98,10.5,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS6,14,0.77,7.09,noerror,NA,NA
earlysocog-fm,s37,ADS,ADS8,15,4.98,7.91,noerror,NA,NA
earlysocog-fm,s37,IDS,IDS8,16,1.82,6.87,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS1,1,9.08,16.2,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS1,2,9.25,14.38,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS2,3,5.39,8.1,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS2,4,6.02,9.83,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS3,5,2.73,8.63,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS3,6,4.39,7.53,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS4,7,4.14,14.77,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS4,8,3.2,6.1,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS5,9,3.62,7.27,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS5,10,3.5,7.96,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS6,11,10.29,16.17,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS6,12,2.37,4.61,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS7,13,9.47,15.9,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS7,14,4.03,4.87,noerror,NA,NA
earlysocog-fm,s41,IDS,IDS8,15,5.39,7.72,noerror,NA,NA
earlysocog-fm,s41,ADS,ADS8,16,2.22,4.23,noerror,NA,NA
earlysocog-fm,s45,ADS,ADS5,1,5.11,9.75,noerror,NA,NA
earlysocog-fm,s45,IDS,IDS5,2,3.62,6.69,noerror,NA,NA
earlysocog-fm,s45,IDS,IDS7,3,1.86,6.73,noerror,NA,NA
earlysocog-fm,s45,ADS,ADS7,4,3.23,6.75,noerror,NA,NA
earlysocog-fm,s45,IDS,IDS1,5,1.95,6.33,noerror,NA,NA
earlysocog-fm,s45,ADS,ADS1,6,2.92,7.85,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,IDS,IDS3,7,2.77,7.58,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,ADS,ADS3,8,2.18,7.03,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,IDS,IDS2,9,3.19,5.78,noerror,NA,"standing on mom, back turned"
earlysocog-fm,s45,ADS,ADS2,10,2.15,6.15,noerror,NA,"standing on mom, back turned"
