lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
musdev-utm,MB_20,IDS,IDS6,6,4.913,6.427,noerror,NA,NA
musdev-utm,MB_20,IDS,IDS7,7,10.514,12.371,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS7,7,6.147,7.411,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS8,8,12.448,17.923,noerror,NA,NA
musdev-utm,MB_20,IDS,IDS8,8,14.415,17.753,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS1,1,17.003,18,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS1,1,9.281,11.465,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS2,2,10.546,12.995,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS2,2,9.142,10.999,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS3,3,11.887,15.756,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS3,3,6.022,6.022,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS4,4,8.439,9.095,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS4,4,15.382,17.987,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS5,5,13.526,15.852,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS5,5,3.572,3.572,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS6,6,6.022,7.738,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS6,6,2.761,2.761,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS7,7,15.586,17.786,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS7,7,3.588,3.588,noerror,NA,NA
musdev-utm,MB_21,ADS,ADS8,8,8.533,10.046,noerror,NA,NA
musdev-utm,MB_21,IDS,IDS8,8,5.725,5.725,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS5,1,16.786,18,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS5,1,7.675,7.675,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS7,2,7.161,7.161,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS7,2,5.6,5.6,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS1,3,18,18,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS1,3,15.866,17.988,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS3,4,10.311,10.311,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS3,4,10.125,11.186,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS2,5,9.75,10.281,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS2,5,9.641,10.827,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS4,6,4.773,4.773,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS4,6,15.475,18.002,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS6,7,3.713,3.713,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS6,7,5.21,5.21,noerror,NA,NA
musdev-utm,MB_22,IDS,IDS8,8,5.943,5.943,noerror,NA,NA
musdev-utm,MB_22,ADS,ADS8,8,11.544,12.37,noerror,NA,NA
musdev-utm,MB_23,ADS,ADS5,1,9.891,15.833,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS5,1,3.978,3.978,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS7,2,10.031,10.031,noerror,NA,NA
musdev-utm,MB_23,ADS,ADS7,2,6.537,6.537,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS1,3,6.333,6.333,noerror,NA,NA
musdev-utm,MB_23,ADS,ADS1,3,5.366,5.366,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS3,4,15.242,16.802,noerror,NA,NA
musdev-utm,MB_23,ADS,ADS3,4,3.26,3.26,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS2,5,5.647,6.099,noerror,NA,NA
musdev-utm,MB_23,ADS,ADS2,5,3.853,3.853,noerror,NA,NA
musdev-utm,MB_23,ADS,ADS4,6,10.577,10.577,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS4,6,3.963,3.963,noerror,NA,NA
musdev-utm,MB_23,ADS,ADS6,7,8.019,9.376,noerror,NA,NA
musdev-utm,MB_23,IDS,IDS6,7,4.821,5.429,noerror,NA,NA
